央视高码,#genre#
云南卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
贵州卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
陕西卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
兵团卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
PLTV/88888888/224/3221225660/index.m3u8
CETV-1,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV-2,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV-4,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8


甘肃移动
CCTV1,http://[2409:8087:74d2:21::9]/270000001128/9900000501/index.m3u8
CCTV2,http://[2409:8087:74d2:21::9]/270000001128/9900000502/index.m3u8
CCTV3,http://[2409:8087:74d2:21::9]/270000001128/9900000003/index.m3u8
CCTV4,http://[2409:8087:74d2:21::9]/270000001128/9900000503/index.m3u8
CCTV5,http://[2409:8087:74d2:21::9]/270000001128/9900000505/index.m3u8
CCTV10,http://[2409:8087:74d2:21::9]/270000001128/9900000506/index.m3u8
CCTV11,http://[2409:8087:74d2:21::9]/270000001128/9900000508/index.m3u8
CCTV12,http://[2409:8087:74d2:21::9]/270000001128/9900000509/index.m3u8
CCTV13,http://[2409:8087:74d2:21::9]/270000001128/9900000510/index.m3u8
CCTV14,http://[2409:8087:74d2:21::9]/270000001128/9900000511/index.m3u8
CCTV15,http://[2409:8087:74d2:21::9]/270000001128/9900000512/index.m3u8
CCTV16,http://[2409:8087:74d2:21::9]/270000001128/9900000016/index.m3u8
CCTV17,http://[2409:8087:74d2:21::9]/270000001128/9900000513/index.m3u8

湖南卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000523/index.m3u8
江苏卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000524/index.m3u8
浙江卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000531/index.m3u8
深圳卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000529/index.m3u8
广东卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000520/index.m3u8
东方卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000518/index.m3u8
北京卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000516/index.m3u8
甘肃卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000023/index.m3u8
四川卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000025/index.m3u8
河南卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000027/index.m3u8
吉林卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000030/index.m3u8
广西卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000034/index.m3u8
云南卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000035/index.m3u8
贵州卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000036/index.m3u8
海南卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000037/index.m3u8
青海卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000042/index.m3u8
河北卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000057/index.m3u8
北京纪实,http://[2409:8087:74d2:21::9]/270000001128/9900000515/index.m3u8
重庆卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000517/index.m3u8
东南卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000519/index.m3u8
黑龙江卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000521/index.m3u8
湖北卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000522/index.m3u8
江西卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000525/index.m3u8
辽宁卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000526/index.m3u8
山东卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000527/index.m3u8
纪实人文,http://[2409:8087:74d2:21::9]/270000001128/9900000528/index.m3u8
天津卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000530/index.m3u8
安徽卫视,http://[2409:8087:74d2:21::9]/270000001128/9900000514/index.m3u8
